year,sector,desc_en,value,rank
2016,p5.2.2,Food and beverage,7366.0,12
2016,p5.4.2,Private education services (language/ hospitality training),2578.0,13
2016,p5.4.2,Private education services (language/ hospitality training),2572.0,14
2016,p5.4.2,Private education services (language/ hospitality training),2410.0,15
2016,p5.4.2,Private education services (language/ hospitality training),2296.0,16
2016,p5.4.1,Private health services (medical tourism),2174.0,17
2016,p5.2.3,Accommodation,2163.0,18
2016,p5.4.1,Private health services (medical tourism),2147.0,19
2016,p5.2.3,Accommodation,2138.0,20
2016,p5.4.1,Private health services (medical tourism),2136.0,21
2016,p5.2.3,Accommodation,2016.0,22
2016,p5.4.1,Private health services (medical tourism),2015.0,23
2016,p5.2.3,Accommodation,1939.0,24
2016,p5.2.2,Food and beverage,9.5,25
2016,p5.2.2,Food and beverage,8.4,26
2016,p5.2.2,Food and beverage,8.2,27
2016,p5.2.2,Food and beverage,7.9,28
2016,p5.4.1,Private health services (medical tourism),7.9,28
2016,p5.4.2,Private education services (language/ hospitality training),7.1,29
2016,p5.2.2,Food and beverage,6.8,30
2016,p5.4.2,Private education services (language/ hospitality training),6.7,31
2016,p5.4.2,Private education services (language/ hospitality training),6.7,31
2016,p5.4.2,Private education services (language/ hospitality training),6.6,32
2016,p5.4.2,Private education services (language/ hospitality training),6.5,33
2016,p5.1.3,Transportation and storage,6.1,34
2016,p5.2.3,Accommodation,6.1,34
2016,p5.1.3,Transportation and storage,6.0,35
2016,p5.4.1,Private health services (medical tourism),5.7,36
2016,p5.1.3,Transportation and storage,5.6,37
2016,p5.2.3,Accommodation,5.6,37
2016,p5.4.1,Private health services (medical tourism),5.6,37
2016,p5.4.1,Private health services (medical tourism),5.5,38
2016,p5.4.1,Private health services (medical tourism),5.4,39
2016,p5.2.3,Accommodation,5.3,40
2016,p5.1.3,Transportation and storage,5.2,41
2016,p5.4.2,Private education services (language/ hospitality training),5.0,42
2016,p5.1.3,Transportation and storage,5.0,42
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.7,43
2016,p5.2.3,Accommodation,4.6,44
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.6,44
2016,p5.2.3,Accommodation,4.1,45
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.0,46
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.0,46
2016,p5.2.3,Accommodation,4.0,46
2016,p5.1.3,Transportation and storage,2.2,47
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.9,48
2016,p5.2.2,Food and beverage,1.6,49
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.4,50
2016,p5.2.3,Accommodation,1.2,51
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.2,51
2016,p5.1.3,Transportation and storage,0.8,52
2016,p5.2.2,Food and beverage,0.7,53
2016,p5.4.1,Private health services (medical tourism),0.5,54
2016,p5.4.2,Private education services (language/ hospitality training),0.2,55
2016,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.1,56
2016,p5.4.1,Private health services (medical tourism),-0.9,57
2016,p5.4.1,Private health services (medical tourism),-1.7,58
2016,p5.1.3,Transportation and storage,-2.4,59
2016,p5.2.2,Food and beverage,-3.3,60
2016,p5.4.2,Private education services (language/ hospitality training),-5.0,61
2016,p5.2.3,Accommodation,-5.3,62
2017,p5.1.3,Transportation and storage,12375.0,1
2017,p5.1.3,Transportation and storage,11826.0,2
2017,p5.1.3,Transportation and storage,11560.0,3
2017,p5.1.3,Transportation and storage,11452.0,4
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11211.0,5
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11103.0,6
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10943.0,7
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10926.0,8
2017,p5.2.2,Food and beverage,8934.0,9
2017,p5.2.2,Food and beverage,8155.0,10
2017,p5.2.2,Food and beverage,8010.0,11
2017,p5.2.2,Food and beverage,7945.0,12
2017,p5.4.2,Private education services (language/ hospitality training),2742.0,13
2017,p5.4.2,Private education services (language/ hospitality training),2741.0,14
2017,p5.4.2,Private education services (language/ hospitality training),2559.0,15
2017,p5.4.2,Private education services (language/ hospitality training),2459.0,16
2017,p5.4.1,Private health services (medical tourism),2291.0,17
2017,p5.2.3,Accommodation,2288.0,18
2017,p5.4.1,Private health services (medical tourism),2278.0,19
2017,p5.4.1,Private health services (medical tourism),2262.0,20
2017,p5.2.3,Accommodation,2259.0,21
2017,p5.4.1,Private health services (medical tourism),2133.0,22
2017,p5.2.3,Accommodation,2120.0,23
2017,p5.2.3,Accommodation,2037.0,24
2017,p5.2.2,Food and beverage,9.6,25
2017,p5.2.2,Food and beverage,8.3,26
2017,p5.2.2,Food and beverage,8.2,27
2017,p5.2.2,Food and beverage,8.0,28
2017,p5.2.2,Food and beverage,7.9,29
2017,p5.4.1,Private health services (medical tourism),7.4,30
2017,p5.4.2,Private education services (language/ hospitality training),7.1,31
2017,p5.4.2,Private education services (language/ hospitality training),7.1,31
2017,p5.4.2,Private education services (language/ hospitality training),6.6,32
2017,p5.2.3,Accommodation,6.6,32
2017,p5.1.3,Transportation and storage,6.4,33
2017,p5.4.2,Private education services (language/ hospitality training),6.4,33
2017,p5.1.3,Transportation and storage,6.3,34
2017,p5.4.2,Private education services (language/ hospitality training),6.2,35
2017,p5.1.3,Transportation and storage,6.1,36
2017,p5.4.1,Private health services (medical tourism),6.1,36
2017,p5.1.3,Transportation and storage,6.0,37
2017,p5.4.1,Private health services (medical tourism),5.9,38
2017,p5.4.1,Private health services (medical tourism),5.9,38
2017,p5.2.3,Accommodation,5.8,39
2017,p5.2.3,Accommodation,5.7,40
2017,p5.4.1,Private health services (medical tourism),5.4,41
2017,p5.2.3,Accommodation,5.2,42
2017,p5.2.3,Accommodation,5.1,43
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.8,44
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.7,45
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.7,45
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.6,46
2017,p5.1.3,Transportation and storage,4.6,46
2017,p5.2.3,Accommodation,4.1,47
2017,p5.4.2,Private education services (language/ hospitality training),4.1,47
2017,p5.1.3,Transportation and storage,2.3,48
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.9,49
2017,p5.2.2,Food and beverage,1.8,50
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.5,51
2017,p5.2.3,Accommodation,1.3,52
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.0,53
2017,p5.1.3,Transportation and storage,0.9,54
2017,p5.2.2,Food and beverage,0.8,55
2017,p5.4.1,Private health services (medical tourism),0.7,56
2017,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.2,57
2017,p5.4.2,Private education services (language/ hospitality training),0.0,58
2017,p5.4.1,Private health services (medical tourism),-0.7,59
2017,p5.4.1,Private health services (medical tourism),-1.3,60
2017,p5.1.3,Transportation and storage,-1.9,61
2017,p5.2.2,Food and beverage,-3.7,62
2017,p5.4.2,Private education services (language/ hospitality training),-4.6,63
2017,p5.2.3,Accommodation,-5.8,64
2018,p5.1.3,Transportation and storage,13200.0,1
2018,p5.1.3,Transportation and storage,12616.0,2
2018,p5.1.3,Transportation and storage,12291.0,3
2018,p5.1.3,Transportation and storage,12103.0,4
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11838.0,5
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11713.0,6
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11516.0,7
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11442.0,8
2018,p5.2.2,Food and beverage,9858.0,9
2018,p5.2.2,Food and beverage,8993.0,10
2018,p5.2.2,Food and beverage,8803.0,11
2018,p5.2.2,Food and beverage,8609.0,12
2018,p5.4.2,Private education services (language/ hospitality training),2926.0,13
2018,p5.4.2,Private education services (language/ hospitality training),2899.0,14
2018,p5.4.2,Private education services (language/ hospitality training),2716.0,15
2018,p5.4.2,Private education services (language/ hospitality training),2615.0,16
2018,p5.2.3,Accommodation,2435.0,17
2018,p5.4.1,Private health services (medical tourism),2430.0,18
2018,p5.4.1,Private health services (medical tourism),2407.0,19
2018,p5.4.1,Private health services (medical tourism),2398.0,20
2018,p5.2.3,Accommodation,2397.0,21
2018,p5.4.1,Private health services (medical tourism),2269.0,22
2018,p5.2.3,Accommodation,2246.0,23
2018,p5.2.3,Accommodation,2160.0,24
2018,p5.2.2,Food and beverage,10.3,25
2018,p5.2.2,Food and beverage,10.3,25
2018,p5.2.2,Food and beverage,9.9,26
2018,p5.2.2,Food and beverage,9.6,27
2018,p5.2.2,Food and beverage,8.4,28
2018,p5.4.2,Private education services (language/ hospitality training),7.7,29
2018,p5.4.1,Private health services (medical tourism),7.1,30
2018,p5.1.3,Transportation and storage,6.7,31
2018,p5.4.2,Private education services (language/ hospitality training),6.7,31
2018,p5.1.3,Transportation and storage,6.7,31
2018,p5.2.3,Accommodation,6.7,31
2018,p5.4.1,Private health services (medical tourism),6.4,32
2018,p5.2.3,Accommodation,6.4,32
2018,p5.4.2,Private education services (language/ hospitality training),6.3,33
2018,p5.1.3,Transportation and storage,6.3,33
2018,p5.4.1,Private health services (medical tourism),6.1,34
2018,p5.4.2,Private education services (language/ hospitality training),6.1,34
2018,p5.2.3,Accommodation,6.1,34
2018,p5.2.3,Accommodation,6.0,35
2018,p5.4.1,Private health services (medical tourism),6.0,35
2018,p5.2.3,Accommodation,5.9,36
2018,p5.1.3,Transportation and storage,5.7,37
2018,p5.4.1,Private health services (medical tourism),5.7,37
2018,p5.4.2,Private education services (language/ hospitality training),5.7,37
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.6,38
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.5,39
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.2,40
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),4.7,41
2018,p5.1.3,Transportation and storage,4.6,42
2018,p5.2.3,Accommodation,4.0,43
2018,p5.4.2,Private education services (language/ hospitality training),3.9,44
2018,p5.1.3,Transportation and storage,2.6,45
2018,p5.2.2,Food and beverage,2.3,46
2018,p5.2.2,Food and beverage,2.2,47
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.1,48
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.7,49
2018,p5.1.3,Transportation and storage,1.6,50
2018,p5.2.3,Accommodation,1.6,50
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.1,51
2018,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.6,52
2018,p5.4.1,Private health services (medical tourism),0.4,53
2018,p5.4.1,Private health services (medical tourism),-0.4,54
2018,p5.4.2,Private education services (language/ hospitality training),-0.9,55
2018,p5.4.1,Private health services (medical tourism),-1.3,56
2018,p5.1.3,Transportation and storage,-2.2,57
2018,p5.2.2,Food and beverage,-3.6,58
2018,p5.4.2,Private education services (language/ hospitality training),-4.6,59
2018,p5.2.3,Accommodation,-5.6,60
2019,p5.1.3,Transportation and storage,14101.0,1
2019,p5.1.3,Transportation and storage,13472.0,2
2019,p5.1.3,Transportation and storage,13157.0,3
2019,p5.1.3,Transportation and storage,12902.0,4
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12519.0,5
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12358.0,6
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12113.0,7
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12082.0,8
2019,p5.2.2,Food and beverage,10901.0,9
2019,p5.2.2,Food and beverage,9895.0,10
2019,p5.2.2,Food and beverage,9681.0,11
2019,p5.2.2,Food and beverage,9495.0,12
2019,p5.4.2,Private education services (language/ hospitality training),3094.0,13
2019,p5.4.2,Private education services (language/ hospitality training),3074.0,14
2019,p5.4.2,Private education services (language/ hospitality training),2872.0,15
2019,p5.4.2,Private education services (language/ hospitality training),2760.0,16
2019,p5.2.3,Accommodation,2603.0,17
2019,p5.4.1,Private health services (medical tourism),2564.0,18
2019,p5.4.1,Private health services (medical tourism),2558.0,19
2019,p5.2.3,Accommodation,2555.0,20
2019,p5.4.1,Private health services (medical tourism),2554.0,21
2019,p5.4.1,Private health services (medical tourism),2395.0,22
2019,p5.2.3,Accommodation,2394.0,23
2019,p5.2.3,Accommodation,2298.0,24
2019,p5.2.2,Food and beverage,10.6,25
2019,p5.2.2,Food and beverage,10.3,26
2019,p5.2.2,Food and beverage,10.2,27
2019,p5.2.2,Food and beverage,10.0,28
2019,p5.2.2,Food and beverage,10.0,28
2019,p5.4.2,Private education services (language/ hospitality training),7.7,29
2019,p5.4.1,Private health services (medical tourism),7.1,30
2019,p5.1.3,Transportation and storage,7.0,31
2019,p5.2.3,Accommodation,6.9,32
2019,p5.1.3,Transportation and storage,6.8,33
2019,p5.1.3,Transportation and storage,6.8,33
2019,p5.2.3,Accommodation,6.7,34
2019,p5.1.3,Transportation and storage,6.6,35
2019,p5.2.3,Accommodation,6.6,35
2019,p5.2.3,Accommodation,6.6,35
2019,p5.4.1,Private health services (medical tourism),6.5,36
2019,p5.2.3,Accommodation,6.4,37
2019,p5.4.1,Private health services (medical tourism),6.3,38
2019,p5.4.2,Private education services (language/ hospitality training),6.0,39
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.8,40
2019,p5.4.2,Private education services (language/ hospitality training),5.7,41
2019,p5.4.2,Private education services (language/ hospitality training),5.7,41
2019,p5.4.1,Private health services (medical tourism),5.6,42
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.6,42
2019,p5.4.2,Private education services (language/ hospitality training),5.5,43
2019,p5.4.1,Private health services (medical tourism),5.5,43
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.5,43
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),5.2,44
2019,p5.1.3,Transportation and storage,4.7,45
2019,p5.2.3,Accommodation,4.2,46
2019,p5.4.2,Private education services (language/ hospitality training),4.1,47
2019,p5.1.3,Transportation and storage,2.4,48
2019,p5.2.2,Food and beverage,2.2,49
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.1,50
2019,p5.1.3,Transportation and storage,2.0,51
2019,p5.2.2,Food and beverage,2.0,51
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),2.0,51
2019,p5.2.3,Accommodation,1.9,52
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),1.3,53
2019,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.3,54
2019,p5.4.1,Private health services (medical tourism),0.2,55
2019,p5.4.1,Private health services (medical tourism),-0.4,56
2019,p5.4.1,Private health services (medical tourism),-0.5,57
2019,p5.4.2,Private education services (language/ hospitality training),-0.6,58
2019,p5.1.3,Transportation and storage,-2.3,59
2019,p5.2.2,Food and beverage,-3.7,60
2019,p5.4.2,Private education services (language/ hospitality training),-4.8,61
2019,p5.2.3,Accommodation,-5.6,62
2020,p5.1.3,Transportation and storage,12706.0,1
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12196.0,2
2020,p5.1.3,Transportation and storage,11237.0,3
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10918.0,4
2020,p5.1.3,Transportation and storage,10865.0,5
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10811.0,6
2020,p5.2.2,Food and beverage,9786.0,7
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),9422.0,8
2020,p5.2.2,Food and beverage,7688.0,9
2020,p5.2.2,Food and beverage,7585.0,10
2020,p5.1.3,Transportation and storage,7269.0,11
2020,p5.2.2,Food and beverage,6616.0,12
2020,p5.4.2,Private education services (language/ hospitality training),2885.0,13
2020,p5.4.2,Private education services (language/ hospitality training),2825.0,14
2020,p5.4.2,Private education services (language/ hospitality training),2759.0,15
2020,p5.4.2,Private education services (language/ hospitality training),2524.0,16
2020,p5.4.1,Private health services (medical tourism),2458.0,17
2020,p5.4.1,Private health services (medical tourism),2453.0,18
2020,p5.4.1,Private health services (medical tourism),2442.0,19
2020,p5.2.3,Accommodation,2195.0,20
2020,p5.4.1,Private health services (medical tourism),2101.0,21
2020,p5.2.3,Accommodation,1157.0,22
2020,p5.2.3,Accommodation,1013.0,23
2020,p5.2.3,Accommodation,500.0,24
2020,p5.2.3,Accommodation,131.4,25
2020,p5.1.3,Transportation and storage,54.6,26
2020,p5.4.1,Private health services (medical tourism),16.2,27
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),15.9,28
2020,p5.2.2,Food and beverage,14.6,29
2020,p5.4.2,Private education services (language/ hospitality training),11.9,30
2020,p5.4.2,Private education services (language/ hospitality training),4.5,31
2020,p5.2.2,Food and beverage,3.1,32
2020,p5.4.1,Private health services (medical tourism),2.4,33
2020,p5.2.2,Food and beverage,1.4,34
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.9,35
2020,p5.4.1,Private health services (medical tourism),0.7,36
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-1.0,37
2020,p5.1.3,Transportation and storage,-1.5,38
2020,p5.4.2,Private education services (language/ hospitality training),-2.3,39
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-2.6,40
2020,p5.1.3,Transportation and storage,-3.3,41
2020,p5.4.1,Private health services (medical tourism),-3.9,42
2020,p5.4.1,Private health services (medical tourism),-4.1,43
2020,p5.4.1,Private health services (medical tourism),-4.4,44
2020,p5.2.3,Accommodation,-4.5,45
2020,p5.4.2,Private education services (language/ hospitality training),-6.1,46
2020,p5.4.2,Private education services (language/ hospitality training),-8.7,47
2020,p5.1.3,Transportation and storage,-9.9,48
2020,p5.4.2,Private education services (language/ hospitality training),-10.2,49
2020,p5.2.2,Food and beverage,-10.2,49
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-11.7,50
2020,p5.4.2,Private education services (language/ hospitality training),-12.1,51
2020,p5.2.3,Accommodation,-12.4,52
2020,p5.4.2,Private education services (language/ hospitality training),-12.5,53
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-13.6,54
2020,p5.4.1,Private health services (medical tourism),-14.3,55
2020,p5.2.3,Accommodation,-15.7,56
2020,p5.1.3,Transportation and storage,-16.6,57
2020,p5.4.1,Private health services (medical tourism),-18.1,58
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-22.2,59
2020,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-22.7,60
2020,p5.1.3,Transportation and storage,-22.9,61
2020,p5.2.2,Food and beverage,-23.3,62
2020,p5.2.2,Food and beverage,-29.5,63
2020,p5.2.2,Food and beverage,-31.7,64
2020,p5.2.2,Food and beverage,-32.4,65
2020,p5.1.3,Transportation and storage,-42.8,66
2020,p5.1.3,Transportation and storage,-44.8,67
2020,p5.2.3,Accommodation,-54.7,68
2020,p5.2.3,Accommodation,-61.1,69
2020,p5.2.3,Accommodation,-77.2,70
2020,p5.2.3,Accommodation,-79.1,71
2021,p5.1.3,Transportation and storage,12102.848,1
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10849.846,2
2021,p5.1.3,Transportation and storage,10596.358,3
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10543.609,4
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),10194.096,5
2021,p5.1.3,Transportation and storage,9995.651,6
2021,p5.1.3,Transportation and storage,9907.996,7
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),9484.352,8
2021,p5.2.2,Food and beverage,7728.901,9
2021,p5.2.2,Food and beverage,7459.472,10
2021,p5.2.2,Food and beverage,7033.765,11
2021,p5.2.2,Food and beverage,6716.26,12
2021,p5.4.1,Private health services (medical tourism),2713.095,13
2021,p5.4.2,Private education services (language/ hospitality training),2700.697,14
2021,p5.4.2,Private education services (language/ hospitality training),2668.475,15
2021,p5.4.1,Private health services (medical tourism),2619.635,16
2021,p5.4.2,Private education services (language/ hospitality training),2618.659,17
2021,p5.4.2,Private education services (language/ hospitality training),2604.078,18
2021,p5.4.1,Private health services (medical tourism),2563.146,19
2021,p5.4.1,Private health services (medical tourism),2350.01,20
2021,p5.2.3,Accommodation,1498.113,21
2021,p5.2.3,Accommodation,897.59,22
2021,p5.2.3,Accommodation,731.566,23
2021,p5.2.3,Accommodation,556.308,24
2021,p5.2.3,Accommodation,169.3,25
2021,p5.2.3,Accommodation,47.9,26
2021,p5.2.3,Accommodation,46.3,27
2021,p5.1.3,Transportation and storage,37.5,28
2021,p5.1.3,Transportation and storage,22.2,29
2021,p5.4.1,Private health services (medical tourism),22.0,30
2021,p5.2.2,Food and beverage,15.1,31
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),14.4,32
2021,p5.1.3,Transportation and storage,11.4,33
2021,p5.4.1,Private health services (medical tourism),10.4,34
2021,p5.4.1,Private health services (medical tourism),9.1,35
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),8.2,36
2021,p5.4.1,Private health services (medical tourism),7.3,37
2021,p5.2.2,Food and beverage,6.3,38
2021,p5.4.2,Private education services (language/ hospitality training),3.8,39
2021,p5.4.1,Private health services (medical tourism),3.6,40
2021,p5.4.1,Private health services (medical tourism),2.2,41
2021,p5.4.2,Private education services (language/ hospitality training),1.9,42
2021,p5.4.2,Private education services (language/ hospitality training),1.2,43
2021,p5.4.2,Private education services (language/ hospitality training),0.6,44
2021,p5.2.2,Food and beverage,0.5,45
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),0.4,46
2021,p5.1.3,Transportation and storage,-0.9,47
2021,p5.4.2,Private education services (language/ hospitality training),-2.1,48
2021,p5.1.3,Transportation and storage,-2.5,49
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-2.5,49
2021,p5.2.2,Food and beverage,-3.0,50
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-3.3,51
2021,p5.4.1,Private health services (medical tourism),-4.2,52
2021,p5.4.1,Private health services (medical tourism),-4.4,53
2021,p5.2.2,Food and beverage,-4.5,54
2021,p5.4.2,Private education services (language/ hospitality training),-5.5,55
2021,p5.4.2,Private education services (language/ hospitality training),-5.6,56
2021,p5.1.3,Transportation and storage,-5.7,57
2021,p5.2.2,Food and beverage,-5.7,57
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-7.0,58
2021,p5.4.2,Private education services (language/ hospitality training),-9.7,59
2021,p5.2.3,Accommodation,-11.4,60
2021,p5.2.2,Food and beverage,-11.5,61
2021,p5.1.3,Transportation and storage,-11.8,62
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-13.1,63
2021,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),-13.5,64
2021,p5.1.3,Transportation and storage,-16.6,65
2021,p5.2.3,Accommodation,-18.5,66
2021,p5.2.2,Food and beverage,-23.8,67
2021,p5.2.3,Accommodation,-24.0,68
2021,p5.2.3,Accommodation,-51.9,69
2021,p5.2.3,Accommodation,-59.1,70
2022,p5.1.3,Transportation and storage,14516.494,1
2022,p5.1.3,Transportation and storage,14090.993,2
2022,p5.1.3,Transportation and storage,13704.058,3
2022,p5.1.3,Transportation and storage,12938.768,4
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),12031.922,5
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11785.671,6
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11598.423,7
2022,p5.4.6,Other services not elsewhere classified (tourism agencies/ guide services),11538.163,8
2022,p5.2.2,Food and beverage,8955.536,9
2022,p5.2.2,Food and beverage,8858.496,10
2022,p5.2.2,Food and beverage,8834.423,11
2022,p5.2.2,Food and beverage,8600.276,12
2022,p5.4.2,Private education services (language/ hospitality training),2975.681,13
2022,p5.4.2,Private education services (language/ hospitality training),2958.773,14
2022,p5.4.1,Private health services (medical tourism),2940.525,15
2022,p5.4.1,Private health services (medical tourism),2852.981,16
2022,p5.4.1,Private health services (medical tourism),2810.191,17
2022,p5.4.2,Private education services (language/ hospitality training),2794.507,18
2022,p5.4.1,Private health services (medical tourism),2738.159,19
2022,p5.4.2,Private education services (language/ hospitality training),2730.213,20
